time,epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,learning_rate
20240912_1755,1,5.448508174403678,0.06921171233664049,4.260953373921192,0.1679,0.01
20240912_1817,2,3.9862403320697646,0.2064475723498797,3.6630367763207086,0.25168,0.01
20240912_1838,3,3.6146227432349685,0.26133874528799234,3.4098383002268995,0.29298,0.01
20240912_1901,4,3.4462582847299097,0.2879796734593568,3.258157369120956,0.3207,0.01
20240912_1922,5,3.3553206236939452,0.302707694990903,3.26660529975696,0.3203,0.01
20240912_1944,6,3.2995461167568245,0.31204331677772007,3.1996242268311095,0.33358,0.01
20240912_2006,7,3.2608534656400794,0.31799778818063984,3.1737762698736947,0.33392,0.01
20240912_2028,8,3.229930191388413,0.3230984497445309,3.1957808681156323,0.3355,0.01
20240912_2049,9,3.207316897981122,0.32742616368256033,3.1199485030015714,0.34418,0.01
20240912_2111,10,3.1874184645716155,0.33120290469753966,3.142087401026655,0.34036,0.01
20240912_2133,11,3.1694508591743364,0.3334464347295278,3.039494005920332,0.35822,0.01
20240912_2155,12,3.1563670645626227,0.3359151105315105,3.117091378287586,0.3456,0.01
20240912_2216,13,3.142358939264221,0.33803576171015653,3.0831836715073844,0.35588,0.01
20240912_2238,14,3.127562963412172,0.34039741399471224,3.1096752586267185,0.34702,0.01
20240912_2300,15,3.120223241720872,0.3420043522897087,3.0348695324509953,0.3595,0.01
20240912_2322,16,3.1126773151995746,0.3428082178206048,3.06606467727505,0.35718,0.01
20240912_2344,17,3.1038131220820953,0.3444611365897551,3.017848657525104,0.36058,0.01
20240913_0006,18,3.095832719517383,0.3454853912898712,3.0636946350107412,0.3566,0.01
20240913_0028,19,3.084792024940479,0.3470225661068412,3.0121354367726902,0.36482,0.01
20240913_0050,20,3.0782912864472163,0.34792473472041097,3.012574785505719,0.36536,0.01
20240913_0111,21,3.0764702992170734,0.3488372093023256,2.9791870367191637,0.36812,0.01
20240913_0133,22,3.072575716486079,0.3498027992595558,2.9609849471265397,0.37226,0.01
20240913_0155,23,3.0635610798420125,0.3509420051450565,3.0783222227755105,0.36126,0.01
20240913_0217,24,3.0618896214626936,0.3508991957380857,2.9863711494923857,0.3695,0.01
20240913_0238,25,3.0577963080519894,0.3523039785001645,3.010091553563657,0.3672,0.01
20240913_0300,26,3.0551031646602715,0.35236660707702916,3.053640813168967,0.362,0.01
20240913_0322,27,3.0499573630647934,0.3534344639509119,3.0808732960840017,0.35682,0.01
20240913_0343,28,3.0483973486903717,0.3531363836357078,2.979821156967631,0.3668,0.01
20240913_0405,29,3.0458661483665943,0.3538300545819939,3.0044597622073823,0.36464,0.01
20240913_0427,30,3.0424247604284957,0.3546925848557759,3.074100743779136,0.3566,0.01
20240913_0449,31,3.038338053038978,0.3551991628382637,2.950865254682653,0.37528,0.001
20240913_0510,32,2.2872229300435576,0.48571156765670026,2.3011469389776438,0.49162,0.001
20240913_0532,33,2.059616216689061,0.5267998779139135,2.201734029118667,0.50904,0.001
20240913_0554,34,1.9357131863051655,0.5492177373642882,2.1448014294704816,0.5208,0.001
20240913_0615,35,1.8420946578940784,0.5660529330389525,2.110717788681655,0.5253,0.001
20240913_0637,36,1.7676601168711374,0.5798613450874224,2.0723447049670205,0.53298,0.001
20240913_0659,37,1.7019996385656595,0.5916735703441797,2.054298608504293,0.53782,0.001
20240913_0720,38,1.6469653780843811,0.6013136145805669,2.049701537317632,0.53904,0.001
20240913_0742,39,1.5963553441290563,0.6104803770398881,2.051254078860173,0.54092,0.001
20240913_0804,40,1.5532560671845528,0.6182074749981171,2.043108258710798,0.54122,0.001
20240913_0825,41,1.5134355300516722,0.6253693302309726,2.0531386737628363,0.53958,0.001
20240913_0847,42,1.4766627591071184,0.6323036613934462,2.0394443480864815,0.54582,0.001
20240913_0909,43,1.4424401644944298,0.6382676459979151,2.045483594355376,0.54416,0.001
20240913_0930,44,1.4137909944380436,0.6432525636096258,2.076777953930828,0.53988,0.001
20240913_0952,45,1.3859313801301427,0.6477039491677931,2.0748043484090233,0.541,0.001
20240913_1014,46,1.3578903130200355,0.6536021341282142,2.07189597742027,0.54326,0.001
20240913_1036,47,1.335904303515157,0.6572980129300264,2.0859342831784806,0.54048,0.001
20240913_1058,48,1.3131164624871245,0.6609526678584594,2.079592752639595,0.54162,0.001
20240913_1120,49,1.2914418402630203,0.6655269322699688,2.0723086549802816,0.54522,0.001
20240913_1141,50,1.271466189474699,0.6690595011118554,2.09543977765476,0.54258,0.001
20240913_1204,51,1.2558825399112363,0.6725056583730047,2.1101139524708623,0.54612,0.0001
20240913_1227,52,0.9525189108802605,0.7438824168288536,2.0672533929805317,0.56966,0.0001
20240913_1249,53,0.8983131138943343,0.7576083811305647,2.071131631846318,0.5689,0.0001
20240913_1311,54,0.8695979558109088,0.7640543679468529,2.0758789707632626,0.57096,0.0001
20240913_1334,55,0.8489450939139517,0.7682909137033704,2.087868686222359,0.5674,0.0001
20240913_1356,56,0.8308691362207278,0.7728437734113944,2.095916321515427,0.57072,0.0001
20240913_1418,57,0.8162321808796617,0.7759617252191009,2.09697299113359,0.56978,0.0001
20240913_1441,58,0.8031587545488281,0.7789195381340648,2.1170117406893874,0.56886,0.0001
20240913_1503,59,0.7888604512104584,0.7818710089146627,2.1186313943179975,0.56938,0.0001
20240913_1526,60,0.7770895242630559,0.7843159017127727,2.128431243664773,0.56766,0.0001
20240913_1548,61,0.7649520160975279,0.7872705435605535,2.1366936254989155,0.5682,0.0001
20240913_1610,62,0.7554185851160976,0.7891644634356134,2.134176971967263,0.56946,0.0001
20240913_1633,63,0.7443243970156079,0.7913810393965459,2.141825282665165,0.56964,0.0001
20240913_1654,64,0.7352792254079725,0.7939044161074358,2.1489651550722244,0.56996,0.0001
20240913_1716,65,0.7260276795219855,0.7952013825852918,2.16316477691426,0.56716,1e-05
20240913_1738,66,0.6843238611774115,0.8064444012826967,2.1729539035226377,0.57038,1e-05
20240913_1800,67,0.6775106107565668,0.8083399066913481,2.1702556036927207,0.57186,1e-05
20240913_1822,68,0.6764786676819828,0.8086847602475018,2.1695218860645733,0.57118,1e-05
20240913_1845,69,0.6729896901646948,0.8094030069644563,2.181018563487646,0.57106,1e-05
20240913_1907,70,0.6714927818284067,0.809825551666594,2.183778682938012,0.56868,1e-05
20240913_1929,71,0.6694897545164216,0.8102148001633099,2.173718895448748,0.57142,1e-05
20240913_1950,72,0.6676973562413578,0.8105715452214,2.1847978055934467,0.57126,1e-05
20240913_2012,73,0.6658012055582592,0.8112644234008902,2.186525191187554,0.56948,1e-05
20240913_2034,74,0.6646407042585128,0.8113746179855003,2.186799530787846,0.5702,1e-05
20240913_2056,75,0.6626683829460938,0.8119723641494999,2.1870180889773554,0.57102,1e-05
20240913_2118,76,0.6625339790052233,0.8117361196443648,2.1944932239439785,0.56994,1e-05
20240913_2139,77,0.6602791391702426,0.8125748669142742,2.18771274345915,0.56996,1e-05
20240913_2201,78,0.6598421681326455,0.8126446303923006,2.1896500346605734,0.57032,1e-05
20240913_2223,79,0.6575199924889462,0.8127833645815579,2.192728556635435,0.57126,1e-05
20240913_2245,80,0.6587492601723915,0.8127191504711017,2.1905585131072023,0.5704,1e-05
20240913_2307,81,0.6561493799596919,0.8134928908637591,2.1877733417179273,0.5701,1e-05
20240913_2329,82,0.654242337103848,0.8139780641427614,2.1936556152675464,0.57066,1e-05
20240913_2351,83,0.6543936324567132,0.8135848518120667,2.1908566277960073,0.56948,1e-05
20240914_0012,84,0.6527586174247109,0.8137663954082948,2.1978350575927577,0.56988,1e-05
20240914_0034,85,0.6511102604448704,0.8144164641808143,2.1976841608886524,0.56926,1e-05
20240914_0056,86,0.6507286664588025,0.814764488804151,2.195518787559646,0.57032,1e-05
20240914_0118,87,0.6499195647808212,0.8146011788442253,2.201931448543773,0.57096,1e-05
20240914_0140,88,0.646665762872154,0.8160852382858796,2.1967282151931995,0.57214,1e-05
20240914_0202,89,0.6471723872262896,0.8152124020437528,2.203794404673759,0.57,1e-05
20240914_0223,90,0.6459103377472623,0.816022609709015,2.2030961897671983,0.57144,1e-05